,Weather,datetime
442,rain,2017-07-11
443,rain,2018-11-30
444,none,2018-05-21
445,rain,2018-06-19
446,none,2018-03-06
447,rain,2018-02-07
448,rain,2017-06-27
449,none,2018-12-11
450,rain,2018-09-25
451,none,2018-04-17
452,rain,2018-10-13
453,none,2018-10-22
454,none,2018-06-07
455,rain,2018-05-19
456,rain,2017-12-18
457,none,2018-08-15
458,none,2019-03-13
459,rain,2017-06-23
460,rain,2019-01-08
461,none,2018-04-14
462,rain,2018-03-01
463,none,2018-07-05
464,none,2018-08-21
465,none,2018-02-20
466,none,2017-06-30
467,rain,2018-08-07
468,none,2018-01-11
469,none,2017-09-11
470,none,2018-05-18
471,rain,2018-03-08
472,none,2018-03-24
473,none,2017-12-08
474,none,2018-08-25
475,rain,2018-09-18
476,rain,2017-07-24
477,rain,2017-09-19
478,none,2019-01-25
479,none,2019-02-09
480,rain,2017-08-18
481,none,2018-12-05
482,none,2017-06-09
483,none,2018-09-22
484,none,2019-02-05
485,none,2018-11-20
486,rain,2017-11-13
487,none,2018-01-02
488,rain,2018-11-03
489,none,2017-10-27
490,none,2018-07-13
491,rain,2019-04-27
492,none,2018-06-06
493,none,2018-06-16
494,none,2017-12-21
495,rain,2018-10-12
496,none,2018-05-07
497,rain,2018-01-20
498,none,2018-01-29
499,rain,2018-12-28
500,none,2019-03-29
501,snow,2019-03-01
502,none,2017-09-01
503,none,2018-01-26
504,none,2017-12-19
505,snow,2019-03-08
506,none,2017-11-17
507,rain,2019-04-24
508,none,2018-07-30
509,rain,2017-09-13
510,rain,2017-06-17
511,none,2018-12-07
512,none,2018-11-21
513,none,2017-06-10
514,none,2019-03-07
515,none,2017-06-02
516,none,2018-10-05
517,none,2019-01-17
518,none,2017-10-03
519,rain,2017-06-19
520,none,2018-09-07
521,none,2018-08-24
522,rain,2017-07-01
523,none,2017-08-09
524,rain,2018-12-21
525,none,2019-03-16
526,none,2017-09-15
527,none,2018-09-14
528,rain,2017-07-12
529,none,2017-12-30
530,rain,2018-02-24
531,none,2019-06-01
532,rain,2018-08-31
533,rain,2019-03-22
534,rain,2018-05-04
535,rain,2018-08-23
536,none,2018-03-23
537,none,2017-08-25
538,snow,2018-02-17
539,rain,2018-01-12
540,none,2018-06-08
541,none,2018-07-14
542,snow,2018-03-21
543,none,2017-09-23
544,rain,2018-12-24
545,none,2017-12-29
546,none,2019-03-30
547,none,2017-10-28
548,rain,2018-10-27
549,none,2018-04-21
550,rain,2018-03-03
551,rain,2018-02-10
552,rain,2017-08-05
553,none,2019-03-17
554,none,2017-09-22
555,none,2018-06-30
556,rain,2018-09-08
557,rain,2018-07-21
558,rain,2018-11-10
559,rain,2017-07-15
560,none,2017-11-24
561,rain,2017-11-18
562,none,2018-07-29
563,none,2018-05-05
564,rain,2018-10-20
565,snow,2019-01-19
566,rain,2017-06-16
567,none,2018-09-01
568,rain,2017-07-22
569,none,2018-09-15
570,rain,2018-12-01
571,snow,2017-12-09
572,none,2018-12-08
573,rain,2019-03-09
574,none,2017-10-07
575,rain,2017-07-29
576,none,2017-12-15
577,none,2017-09-30
578,rain,2017-09-02
579,none,2017-12-02
580,none,2018-03-17
581,none,2017-10-21
582,rain,2018-08-18
583,none,2017-08-26
584,rain,2018-06-03
585,none,2018-11-04
586,none,2018-12-29
587,none,2017-11-04
588,none,2018-06-17
589,none,2018-03-04
590,rain,2017-12-10
591,rain,2018-12-22
592,none,2018-11-17
593,rain,2019-01-05
594,none,2017-09-16
595,none,2018-09-23
596,rain,2018-03-10
597,rain,2018-12-15
598,snow,2018-11-15
599,none,2018-11-18
600,none,2018-04-07
601,none,2017-06-25
602,none,2018-07-07
603,rain,2018-01-28
604,rain,2018-07-22
605,rain,2018-12-14
606,none,2018-08-26
607,none,2018-01-21
608,snow,2019-02-17
609,rain,2017-06-24
610,rain,2019-04-13
611,rain,2018-06-10
612,none,2017-11-25
613,none,2019-02-16
